"code","name","sector","section","has_item","reg_day","code","reg_day","open","high","low","close","change_price","change_rate","volume","margin_rate","volume_retail","volume_insti","volume_foreign","volume_program","foreign_rate","volume_short","cap"
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-23,775,780,765,770,0,0.0,617499,5.67,-18747,0,37494,0,0.04,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-22,795,810,770,770,-20,-2.53,1644849,5.54,162586,0,-325172,0,0.0,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-21,780,800,775,790,15,1.94,2299239,5.37,163692,0,72578,0,0.35,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-20,775,785,770,775,5,0.65,1212333,5.28,-12325,0,36650,0,0.27,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-19,800,800,765,770,-10,-1.28,1080524,5.14,23697,0,-59394,0,0.24,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-16,800,810,770,780,-20,-2.5,1203769,5.11,249114,0,-145064,0,0.3,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-15,815,815,790,800,-15,-1.84,552113,5.09,-9847,0,-1472,0,0.46,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-14,815,820,805,815,5,0.62,365917,5.12,14257,0,-21328,0,0.46,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-13,810,815,795,810,-5,-0.61,679392,5.05,-47786,0,-9364,0,0.48,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-12,805,820,800,815,20,2.52,667900,5.05,-48473,0,195294,0,0.49,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-09,795,815,785,795,-5,-0.63,925694,5.06,-79554,0,159108,0,0.28,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-08,790,800,785,800,5,0.63,319478,5.42,3048,0,-6096,0,0.11,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-07,785,805,780,795,15,1.92,967276,5.48,-159368,0,65648,0,0.11,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-06,795,805,775,780,-10,-1.27,1048503,5.44,16768,0,-33536,0,0.04,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-05,790,800,785,790,-15,-1.86,548824,5.75,3360,0,-8720,0,0.08,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-01,810,815,790,805,0,0.0,746608,5.61,23103,0,-46206,0,0.09,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-30,820,825,800,805,-15,-1.83,1107453,5.84,-9629,0,19258,0,0.14,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-29,830,840,815,820,-5,-0.61,714374,5.74,-21855,0,43710,0,0.12,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-28,830,850,820,825,0,0.0,633496,5.57,-20102,0,40204,0,0.07,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-25,830,850,810,825,-10,-1.2,948586,6.15,-10952,0,21904,0,0.03,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-24,860,875,835,835,-25,-2.91,1361780,6.79,32118,0,-64236,0,0.0,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-23,880,880,860,860,-20,-2.27,1239351,7.39,85387,0,-282428,0,0.07,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-22,900,900,870,880,-20,-2.22,2566572,7.11,121607,0,-243214,0,0.38,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-21,900,935,895,900,35,4.05,4166303,7.21,67272,0,18378,0,0.64,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-18,900,900,865,865,-25,-2.81,1053001,7.68,81542,0,-197440,0,0.62,0,0
